,상가업소번호,상호명,지점명,상권업종대분류코드,상권업종대분류명,상권업종중분류코드,상권업종중분류명,상권업종소분류코드,상권업종소분류명,표준산업분류코드,표준산업분류명,시도코드,시도명,시군구코드,시군구명,행정동코드,행정동명,법정동코드,법정동명,지번코드,대지구분코드,대지구분명,지번본번지,지번부번지,지번주소,도로명코드,도로명,건물본번지,건물부번지,건물관리번호,건물명,도로명주소,구우편번호,신우편번호,동정보,층정보,호정보,경도,위도
71712,MA010120220809830583,매머드익스프레스강남해커스타운점,,I2,음식,I212,비알코올 ,I21201,카페,I56221,커피 전문점,11,서울특별시,11650,서초구,11650531,서초4동,1165010800,서초동,1.16501e+18,1,대지,1317,11.0,서울특별시 서초구 서초동 1317-11,116504000000.0,서울특별시 서초구 서초대로77길,9.0,,1.16501e+24,강남누드죤빌딩,서울특별시 서초구 서초대로77길 9,137856,6615,,1,,127.0262027,37.4985782
114762,MA0106202301A0523730,가배도강남,,I2,음식,I212,비알코올 ,I21201,카페,I56221,커피 전문점,11,서울특별시,11650,서초구,11650531,서초4동,1165010800,서초동,1.16501e+18,1,대지,1318,2.0,서울특별시 서초구 서초동 1318-2,116502000000.0,서울특별시 서초구 강남대로,405.0,,1.16501e+24,통영빌딩,서울특별시 서초구 강남대로 405,137856,6615,,1,,127.0266753,37.49876231
146695,MA010120220814342326,공차,,I2,음식,I212,비알코올 ,I21201,카페,I56229,기타 비알코올 음료점업,11,서울특별시,11650,서초구,11650531,서초4동,1165010800,서초동,1.16501e+18,1,대지,1317,19.0,서울특별시 서초구 서초동 1317-19,116504000000.0,서울특별시 서초구 서초대로77길,3.0,,1.16501e+24,아라타워,서울특별시 서초구 서초대로77길 3,137856,6615,,,,127.0264923,37.49804896
176198,MA0106202301A1142365,투썸플레이스강남역아라,타워점,I2,음식,I212,비알코올 ,I21201,카페,I56221,커피 전문점,11,서울특별시,11650,서초구,11650531,서초4동,1165010800,서초동,1.16501e+18,1,대지,1317,20.0,서울특별시 서초구 서초동 1317-20,116504000000.0,서울특별시 서초구 서초대로77길,3.0,,1.16501e+24,아라타워,서울특별시 서초구 서초대로77길 3,137856,6615,,2,,127.0264923,37.49804896
219630,MA010120220803212716,크림VIP라운지,,I2,음식,I212,비알코올 ,I21201,카페,I56221,커피 전문점,11,서울특별시,11650,서초구,11650531,서초4동,1165010800,서초동,1.16501e+18,1,대지,1317,23.0,서울특별시 서초구 서초동 1317-23,116502000000.0,서울특별시 서초구 서초대로,411.0,,1.16501e+24,GTTOWER,서울특별시 서초구 서초대로 411,137856,6615,,1,,127.0259036,37.49809817
239831,MA0106202301A0146880,커피빈GT타워역상,강남역,I2,음식,I212,비알코올 ,I21201,카페,I56229,기타 비알코올 음료점업,11,서울특별시,11650,서초구,11650531,서초4동,1165010800,서초동,1.16501e+18,1,대지,1317,31.0,서울특별시 서초구 서초동 1317-31,116504000000.0,서울특별시 서초구 서초대로73길,12.0,,1.16501e+24,세계빌딩,서울특별시 서초구 서초대로73길 12,137856,6615,,,,127.025717,37.49853815
240156,MA0106202301A0146910,커피빈삼성전자강남사옥점,코리아,I2,음식,I212,비알코올 ,I21201,카페,I56229,기타 비알코올 음료점업,11,서울특별시,11650,서초구,11650520,서초2동,1165010800,서초동,1.16501e+18,1,대지,1320,10.0,서울특별시 서초구 서초동 1320-10,116504000000.0,서울특별시 서초구 서초대로74길,11.0,,1.16501e+24,삼성전자빌딩,서울특별시 서초구 서초대로74길 11,137965,6620,,2,,127.0268953,37.49662862
267804,MA0106202301A0146886,커피빈강남역GT타워옆점,코리아,I2,음식,I212,비알코올 ,I21201,카페,I56229,기타 비알코올 음료점업,11,서울특별시,11650,서초구,11650531,서초4동,1165010800,서초동,1.16501e+18,1,대지,1317,31.0,서울특별시 서초구 서초동 1317-31,116504000000.0,서울특별시 서초구 서초대로73길,12.0,,1.16501e+24,세계빌딩,서울특별시 서초구 서초대로73길 12,137856,6615,,1,,127.025717,37.49853815
268145,MA0106202301A0146806,커피빈삼성전자강남사옥점상,,I2,음식,I212,비알코올 ,I21201,카페,I56229,기타 비알코올 음료점업,11,서울특별시,11650,서초구,11650520,서초2동,1165010800,서초동,1.16501e+18,1,대지,1320,10.0,서울특별시 서초구 서초동 1320-10,116504000000.0,서울특별시 서초구 서초대로74길,11.0,,1.16501e+24,삼성전자빌딩,서울특별시 서초구 서초대로74길 11,137965,6620,,2,,127.0268953,37.49662862
272443,MA0101202211A0013837,카페더나인,,I2,음식,I212,비알코올 ,I21201,카페,I56221,커피 전문점,11,서울특별시,11650,서초구,11650531,서초4동,1165010800,서초동,1.16501e+18,1,대지,1317,14.0,서울특별시 서초구 서초동 1317-14,116504000000.0,서울특별시 서초구 서초대로77길,5.0,,1.16501e+24,,서울특별시 서초구 서초대로77길 5,137856,6615,,,,127.0263754,37.49834535
317193,MA010120220809863405,겟잡컨설팅,,R1,예술·스포츠,R102,도서관·사적지,R10202,독서실/스터디 카페,R90212,독서실 운영업,11,서울특별시,11650,서초구,11650520,서초2동,1165010800,서초동,1.16501e+18,1,대지,1319,11.0,서울특별시 서초구 서초동 1319-11,116502000000.0,서울특별시 서초구 강남대로,381.0,,1.16501e+24,두산베어스텔,서울특별시 서초구 강남대로 381,137857,6620,,,,127.0276749,37.49668009
379729,MA010120220810289364,블루밍,,I2,음식,I212,비알코올 ,I21201,카페,I56221,커피 전문점,11,서울특별시,11650,서초구,11650520,서초2동,1165010800,서초동,1.16501e+18,1,대지,1320,,서울특별시 서초구 서초동 1320,116504000000.0,서울특별시 서초구 서초대로74길,3.0,,1.16501e+24,윤빌딩,서울특별시 서초구 서초대로74길 3,137857,6620,,1,,127.0261865,37.49721747
381020,MA010120220811696248,진명글로벌,,I2,음식,I212,비알코올 ,I21201,카페,I56229,기타 비알코올 음료점업,11,서울특별시,11650,서초구,11650531,서초4동,1165010800,서초동,1.16501e+18,1,대지,1317,14.0,서울특별시 서초구 서초동 1317-14,116504000000.0,서울특별시 서초구 서초대로77길,5.0,,1.16501e+24,,서울특별시 서초구 서초대로77길 5,137856,6615,,2,,127.0263754,37.49834535
463997,MA0101202305A0157363,카페하루플란트,,I2,음식,I212,비알코올 ,I21201,카페,I56221,커피 전문점,11,서울특별시,11650,서초구,11650531,서초4동,1165010800,서초동,1.16501e+18,1,대지,1318,,서울특별시 서초구 서초동 1318,116502000000.0,서울특별시 서초구 강남대로,411.0,,1.16501e+24,,서울특별시 서초구 강남대로 411,137856,6615,,6,,127.0265119,37.49915742
9512,MA010120220809624514,주니카페,,I2,음식,I212,비알코올 ,I21201,카페,I56221,커피 전문점,11,서울특별시,11680,강남구,11680640,역삼1동,1168010100,역삼동,1.16801e+18,1,대지,825,18.0,서울특별시 강남구 역삼동 825-18,116803000000.0,서울특별시 강남구 테헤란로,110.0,,1.16801e+24,켐브리지강남빌딩,서울특별시 강남구 테헤란로 110,135934,6232,,5,,127.0293648,37.49805458
54187,MA0106202301A0146912,커피빈강남역12번상,출구점,I2,음식,I212,비알코올 ,I21201,카페,I56229,기타 비알코올 음료점업,11,서울특별시,11680,강남구,11680640,역삼1동,1168010100,역삼동,1.16801e+18,1,대지,822,5.0,서울특별시 강남구 역삼동 822-5,116803000000.0,서울특별시 강남구 테헤란로,111.0,,1.16801e+24,대건빌딩,서울특별시 강남구 테헤란로 111,135933,6134,,2,,127.0292638,37.49887371
57333,MA0101202306A0079747,디저트39강남1,,I2,음식,I212,비알코올 ,I21201,카페,I56221,커피 전문점,11,서울특별시,11680,강남구,11680640,역삼1동,1168010100,역삼동,1.16801e+18,1,대지,825,20.0,서울특별시 강남구 역삼동 825-20,116804000000.0,서울특별시 강남구 테헤란로4길,6.0,,1.16801e+24,강남역센트럴푸르지오시티,서울특별시 강남구 테헤란로4길 6,135934,6232,,1,,127.0294604,37.4976589
