,상가업소번호,상호명,지점명,상권업종대분류코드,상권업종대분류명,상권업종중분류코드,상권업종중분류명,상권업종소분류코드,상권업종소분류명,표준산업분류코드,표준산업분류명,시도코드,시도명,시군구코드,시군구명,행정동코드,행정동명,법정동코드,법정동명,지번코드,대지구분코드,대지구분명,지번본번지,지번부번지,지번주소,도로명코드,도로명,건물본번지,건물부번지,건물관리번호,건물명,도로명주소,구우편번호,신우편번호,동정보,층정보,호정보,경도,위도
429,MA010120220805537119,델타에너지글로벌,,M1,과학·기술,M107,본사·경영 컨설팅,M10703,경영 컨설팅업,M71531,경영 컨설팅업,11,서울특별시,11440,마포구,11440660,서교동,1144012000,서교동,1144012000103470021,1,대지,347,21.0,서울특별시 마포구 서교동 347-21,114403113015,서울특별시 마포구 어울마당로,130.0,,1144012000103470021024741,기린빌딩,서울특별시 마포구 어울마당로 130,121837,4053,,,,126.924502352231,37.5558043432705
1532,MA010120220806412974,유한푸드팜와플대학,,I2,음식,I210,기타 간이,I21001,빵/도넛,I56192,"피자, 햄버거, 샌드위치 및 유사 음식점업",11,서울특별시,11440,마포구,11440660,서교동,1144012100,동교동,1144012100101660015,1,대지,166,15.0,서울특별시 마포구 동교동 166-15,114403113014,서울특별시 마포구 양화로,176.0,,1144012100101660014028737,동교동스타피카소,서울특별시 마포구 양화로 176,121818,4051,,1,,126.924968379283,37.5572412394843
1948,MA010120220806495067,역전우동0410홍대입구역점,,I2,음식,I203,일식,I20303,일식 면 요리,I56194,김밥 및 기타 간이 음식점업,11,서울특별시,11440,마포구,11440660,서교동,1144012100,동교동,1144012100101640009,1,대지,164,9.0,서울특별시 마포구 동교동 164-9,114403113015,서울특별시 마포구 어울마당로,127.0,1.0,1144012100101640009011772,,서울특별시 마포구 어울마당로 127-1,121817,4050,,1,,126.924058938925,37.555944469483
3068,MA010120220806792959,세이브골프투어,,N1,시설관리·임대,N105,여행사·보조,N10501,여행사,N75210,여행사업,11,서울특별시,11440,마포구,11440660,서교동,1144012100,동교동,1144012100101540023,1,대지,154,23.0,서울특별시 마포구 동교동 154-23,114404139425,서울특별시 마포구 양화로19길,22.0,8.0,1144012100101540023011703,,서울특별시 마포구 양화로19길 22-8,121816,3994,,5,,126.924146891921,37.5584862003723
3212,MA010120220806823328,팝시페텔뮤직,,G2,소매,G213,오락용품 소매,G21303,음반/비디오물 소매업,G47620,음반 및 비디오물 소매업,11,서울특별시,11440,마포구,11440660,서교동,1144012100,동교동,1144012100102000015,1,대지,200,15.0,서울특별시 마포구 동교동 200-15,114404139547,서울특별시 마포구 월드컵북로4길,44.0,7.0,1144012100102000015027167,,서울특별시 마포구 월드컵북로4길 44-7,121819,3993,,1,,126.92203843264,37.5579263450035
3251,MA010120220806845379,이디엠아트미술학원,,P1,교육,P106,기타 교육,P10611,미술학원,P85621,음악학원,11,서울특별시,11440,마포구,11440660,서교동,1144012100,동교동,1144012100101600001,1,대지,160,1.0,서울특별시 마포구 동교동 160-1,114403113014,서울특별시 마포구 양화로,151.0,,1144012100101600001011737,,서울특별시 마포구 양화로 151,121898,3995,,5,,126.922345484989,37.5562532161713
5165,MA010120220807760129,제이투어스,,M1,과학·기술,M112,전문 디자인,M11201,인테리어 디자인업,M73201,인테리어 디자인업,11,서울특별시,11440,마포구,11440660,서교동,1144012100,동교동,1144012100101590005,1,대지,159,5.0,서울특별시 마포구 동교동 159-5,114403113014,서울특별시 마포구 양화로,161.0,,1144012100101590005011731,케이스퀘어,서울특별시 마포구 양화로 161,121898,3995,,8,,126.923297793953,37.5569286733792
5318,MA010120220807979091,드라이빙존운전면허홍대역점,,P1,교육,P106,기타 교육,P10623,운전학원,P85661,운전학원,11,서울특별시,11440,마포구,11440660,서교동,1144012100,동교동,1144012100101640031,1,대지,164,31.0,서울특별시 마포구 동교동 164-31,114404139620,서울특별시 마포구 홍익로6길,34.0,,1144012100101640031011780,,서울특별시 마포구 홍익로6길 34,121817,4050,,3,,126.923564125582,37.5557237098204
6103,MA010120220808253253,진화쿵푸마라탕,,I2,음식,I202,중식,I20202,마라탕/훠궈,I56121,중식 음식점업,11,서울특별시,11440,마포구,11440660,서교동,1144012100,동교동,1144012100101640019,1,대지,164,19.0,서울특별시 마포구 동교동 164-19,114404139620,서울특별시 마포구 홍익로6길,44.0,,1144012100101640019011777,,서울특별시 마포구 홍익로6길 44,121817,4050,,2,,126.923967370939,37.5560157180976
7171,MA010120220808463656,홍대노트북수리,,S2,수리·개인,S201,컴퓨터 수리,S20101,컴퓨터/노트북/프린터 수리업,S95110,컴퓨터 및 주변 기기 수리업,11,서울특별시,11440,마포구,11440660,서교동,1144012100,동교동,1144012100101590006,1,대지,159,6.0,서울특별시 마포구 동교동 159-6,114403113014,서울특별시 마포구 양화로,157.0,,1144012100101590006022657,파라다이스텔,서울특별시 마포구 양화로 157,121898,3995,,18,,126.922927847689,37.556682018566
